chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
,"{'@class': 'edited', '@first': 'yes', 'date': '2013', 'aut': 'T. Black', 'tit': 'Ringer', 'num': 'n.p.', '#text': '[ebook] He looks at the biffers, #1 and #2; they shrug together. ‘What are you fucking on about, laddie?’ goes Davie'}",to talk pointlessly but still persistently,phrase,fuck on,2013,"[ebook] He looks at the biffers, #1 and #2; they shrug together. ‘What are you fucking on about, laddie?’ goes Davie",2013,"[ebook] He looks at the biffers, #1 and #2; they shrug together. ‘What are you fucking on about, laddie?’ goes Davie",fuck
1930s+,"[{'@first': 'yes', 'circa': '1936', 'aut': 'P. Smith', 'tit': 'Letter from My Father', 'edn': '1978', 'num': '367', '#text': 'in I never left the hotel from one day to the other just laying there fucking my head off'}, {'date': '1969', 'aut': '‘Iceberg Slim’', 'tit': 'Mama Black Widow', 'num': '164', '#text': 'Them freak bitches [...] humping their asses off for the paddy pimp'}, {'date': '1977', 'aut': 'J. Sayles', 'tit': 'Union Dues', 'edn': '1978', 'num': '366', '#text': 'You wanna go back [...] hump your little ass off with the college boys'}, {'date': '1979', 'aut': 'T. Alibrandi', 'tit': 'Killshot', 'num': '80', '#text': 'I don’t want you fucking away your brains and energy'}, {'date': '1992', 'aut': 'R.C. Cruz', 'tit': 'Straight Outta Compton', 'num': '82', '#text': 'He did me good. But I asked for it. You can fuck yo’ ass off, he says'}]","to copulate enthusiastically, usu. from the male point of view",phrase,fuck one’s ass off,1936,in I never left the hotel from one day to the other just laying there fucking my head off,1992,"He did me good. But I asked for it. You can fuck yo’ ass off, he says",fuck
late 19C; 1960s+,"[{'@first': 'yes', 'date': '1888–94', 'aut': '‘Walter’', 'tit': 'My Secret Life', 'edn': '1966', 'num': '445', '#text': 'III ‘As you won’t let me fuck you, I’ll frig myself.’ Suiting the action to the word I began fist-fucking'}, {'date': '1948', 'con': '1900s', 'aut': 'Randolph & Legman', 'tit': 'Ozark Folksongs and Folklore', 'edn': '1992', 'num': '634', '#text': 'in  II Oh mamma, mamma, look at Sis, / Out in the back yard fuckin’ her fist!'}, {'date': '1952', 'aut': 'Randolph & Legman', 'tit': 'Ozark Folksongs and Folklore', 'edn': '1992', 'num': '767', '#text': 'in  II Gents to the center and fuck your fist'}, {'date': '1966', 'aut': 'B. Jackson', 'tit': 'Get Your Ass in the Water', 'edn': '1974', 'num': '222', '#text': 'If I had a been strong like Samson, I’d a broke this damned door down, / I’d of fucked that lovely maiden and beat it out of town. / But therefore I was not Samson, so I fucked my fist once more, / but I taken good aim and shot it — through this keyhole in this door'}, {'date': '1971', 'con': 'WWII', 'aut': 'B. Aldiss', 'tit': 'Soldier Erect', 'num': '80', '#text': 'Take the advice of an old soldier [...] Fuck your fist [...] Honeymoon in the hand'}, {'@class': 'N331', 'date': '1972', 'aut': 'B. Rodgers', 'tit': 'Queens’ Vernacular'}, {'date': '1988', 'aut': '‘Victoria Parker’', 'tit': 'Incest Schoolgirls', '#text': '[Internet] Mr. Davidson whacked his cock, pumped his prick, drubbed his dick. He fucked his fist in a fast jack-jerk'}, {'date': '1991', 'tit': 'Horny Peeping Sister', 'num': 'n.p.', '#text': 'Tom bucked his hips forward, fucking his fist. Pre-cum dripped from his fingers and dribbled down into the alley'}, {'date': '2005', 'aut': '‘Paul G.’', 'tit': 'Literotica.com', '#text': '‘My Truck Drivin’ Brother’ at  [Internet] My brother kept on fucking his fist a minute more and came inside his hand'}]",to masturbate,phrase,fuck one’s fist,1888,"III ‘As you won’t let me fuck you, I’ll frig myself.’ Suiting the action to the word I began fist-fucking",2005,‘My Truck Drivin’ Brother’ at  [Internet] My brother kept on fucking his fist a minute more and came inside his hand,fuck
1970s+,"[{'@first': 'yes', 'date': '1977', 'aut': 'K. Gilbert', 'tit': 'Living Black', 'num': '65', '#text': 'in They moved us to A division. It was so ... oh, it fucked me right out'}, {'date': '1988', 'aut': 'N. Eastwood', 'tit': 'Gardener Got Her', 'num': 'n.p.', '#text': '‘Yeah, Mike, give it to her!’ he panted. ‘This little lady can’t get enough!’ ‘Tell me about it,’ Mike said. ‘She fucked me out this afternoon.’'}]","to break down; thus , usu. of a man, exhausted by an excess of intercourse",phrase,fuck out,1977,"in They moved us to A division. It was so ... oh, it fucked me right out",1988,"‘Yeah, Mike, give it to her!’ he panted. ‘This little lady can’t get enough!’ ‘Tell me about it,’ Mike said. ‘She fucked me out this afternoon.’",fuck
1980s,"{'@first': 'yes', 'date': '1984', 'aut': 'L. McCorkle', 'tit': 'Cheer Leader', 'num': '15', 'org': 'HDAS', '#text': '‘I cannot tell a lie’ is important and fucking out on Martha is not'}",to be sexually unfaithful,phrase,fuck out,1984,‘I cannot tell a lie’ is important and fucking out on Martha is not,1984,‘I cannot tell a lie’ is important and fucking out on Martha is not,fuck
1980s+,"{'@class': 'edited', '@first': 'yes', 'date': '2012', 'con': '1980s', 'aut': 'I. Welsh', 'tit': 'Skagboys', 'num': '328', '#text': 'Don’t fuck Chef out, mate, he’s a real bastard'}","to irritate, to annoy",phrase,fuck out,2012,"Don’t fuck Chef out, mate, he’s a real bastard",2012,"Don’t fuck Chef out, mate, he’s a real bastard",fuck
mid-19C+,"[{'@first': 'yes', 'date': '1934', 'aut': 'H. Miller', 'tit': 'Tropic of Cancer', 'edn': '1963', 'num': '54', '#text': 'One by one I’ve fucked myself out of all those free meals which I had planned so carefully'}, {'date': '1949', 'aut': 'H. Miller', 'tit': 'Sexus', 'edn': '1969', 'num': '287', '#text': 'And then, b’Jesus, almost fucking me out of a job!'}, {'date': '1959', 'aut': 'W. Burroughs', 'tit': 'Naked Lunch', 'edn': '1968', 'num': '203', '#text': 'You’re trying to fuck me out of my commission'}, {'date': '1962', 'con': '1940s', 'aut': 'G. Mandel', 'tit': 'Wax Boom', 'num': '189', '#text': 'Miss Lily, I believe I’ve been fucked out of some pay'}, {'@class': 'N331', 'date': '1967', 'aut': 'H.S. Thompson', 'tit': 'Proud Highway', 'edn': '1997', 'num': '601', '#text': 'letter 5 Jan. in The Blues Project people were fucked out of any mention on their own album'}, {'date': '1973', 'aut': 'G.V. Higgins', 'tit': 'Digger’s Game', 'edn': '1981', 'num': '123', '#text': 'You just fuck me out if a ten-K contract onna Greek'}, {'date': '1984', 'aut': 'D. Jenkins', 'tit': 'Life Its Ownself', 'edn': '1985', 'num': '87', '#text': 'Offensive holding [...] was something a zebra called when it was time to fuck you out of your bet but win him his'}, {'date': '2006', 'aut': 'C. Valentine', 'tit': 'Better Days Ahead', 'num': '377', '#text': 'Tell him how you fucked me out of my share of the inheritance'}, {'@class': 'new', 'date': '2008', 'aut': 'J. Niven', 'tit': 'Kill Your Friends', 'edn': '2009', 'num': '21', '#text': 'Most beasts of Nicky’s stripe get thrown the odd break —the big tits, say [...] Nicky got fucked out of the lot'}]",to cheat someone,phrase,fuck out of,1934,One by one I’ve fucked myself out of all those free meals which I had planned so carefully,2008,"Most beasts of Nicky’s stripe get thrown the odd break —the big tits, say [...] Nicky got fucked out of the lot",fuck
2000s,"{'@first': 'yes', 'date': '2000', 'aut': 'P. Howard', 'tit': 'Miseducation of Ross O’Carroll-Kelly', 'edn': '2004', 'num': '20', '#text': 'Me, Sophie, Amy, and clarinet Deirdre got focked out of the one [i.e. a café] in Donnybrook last week for ordering, like, a Diet Coke between us'}","to eject, to throw out",phrase,fuck out of,2000,"Me, Sophie, Amy, and clarinet Deirdre got focked out of the one [i.e. a café] in Donnybrook last week for ordering, like, a Diet Coke between us",2000,"Me, Sophie, Amy, and clarinet Deirdre got focked out of the one [i.e. a café] in Donnybrook last week for ordering, like, a Diet Coke between us",fuck
1940s+,"[{'@first': 'yes', 'date': '1949', 'aut': 'H. Miller', 'tit': 'Sexus', 'edn': '1969', 'num': '352', '#text': 'You wait, you lovely bitch ... I’ll fuck the ass off you'}, {'date': '1964', 'aut': 'H. Selby Jr', 'tit': 'Last Exit to Brooklyn', 'edn': '1966', 'num': '117', '#text': 'He soliloquised about [...] how many more women who damned near fucked the ass offim'}, {'date': '1967', 'aut': 'J. Orton', 'tit': 'Diaries', 'edn': '1986', 'num': '188', '#text': '18 Dec. I have fucked the arses off aging queens quite easily'}, {'date': '1975', 'aut': 'J. Wambaugh', 'tit': 'Choirboys', 'edn': '1976', 'num': '307', '#text': 'Go over there and fuck old Ora Lee’s socks off'}, {'date': '1976', 'aut': 'H. Selby Jr', 'tit': 'Demon', 'edn': '1979', 'num': '68', '#text': 'He told her he would like to fuck the ass off her'}, {'date': '1979', 'tit': 'Maledicta', 'num': '231', 'b': ['fuck the ass off', 'fuck rotten'], '#text': 'III:2 To  someone doesn’t necessarily imply either anal intercourse or homosexuality (although UK  usually does)'}, {'date': '1991', 'aut': 'R. Doyle', 'tit': 'Van', 'edn': '1998', 'num': '586', '#text': 'You could never respect a woman like tha’, said Bimbo. – No, Jimmy Sr agreed. – But yeh could ride the arse off her'}, {'@class': 'N331', 'date': '1993', 'aut': 'B. Moore', 'tit': 'Lex. of Cadet Lang.', 'num': '152', 'scaps': 'usage', '#text': ': ‘I’m going to fuck the arse off Linda tonight’'}, {'date': '1994', 'aut': 'I. Welsh', 'tit': 'Acid House', 'num': '88', '#text': '‘Where the Debris Meets the Sea’ in Ah’d shag the erse oafay that anywey'}, {'@class': 'new19B', 'date': '1998', 'aut': 'R.G. Barrett', 'tit': 'Mud Crab Boogie', 'edn': '2013', '#text': '[ebook] ‘How’s it going there, sexy. You look alright. I wouldn’t mind taking you back to my place and fucking the arse off you?’'}, {'date': '1998', 'aut': 'P. McCabe', 'tit': 'Breakfast on Pluto', 'num': '84', '#text': 'They have the arse rode off me'}, {'date': '2000', 'aut': 'N. Griffiths', 'tit': 'Grits', 'num': '53', '#text': 'He will fuck the arse off her tonight, he thinks, he will shag her senseless, screw her daft'}, {'date': '2001', 'aut': 'A. Sillitoe', 'tit': 'Birthday', 'num': '49', '#text': 'He was fucking her arse off, you can bet'}, {'date': '2006', 'tit': 'profile.adultfriendfinder.com', '#text': 'posting at  [Internet] i would fuck the arse off Amy Nuttal (used to be in emmerdale – left now i think)'}, {'date': '2006', 'tit': ['Wife Slut’s Adventures', 'Literotica.org'], '#text': 'at  [Internet] We joined the two men whom were going to fuck the ass off my wife tonight'}]","usu. of a man, to have energetic sexual intercourse, to make someone the object of one’s enthusiastic or aggressive love-making; often in wishful phr. voiced by a man of a passing woman, /",phrase,fuck the arse off someone,1949,"You wait, you lovely bitch ... I’ll fuck the ass off you",2006,at  [Internet] We joined the two men whom were going to fuck the ass off my wife tonight,fuck
,"[{'@first': 'yes', 'date': '1956', 'aut': '‘Ed Lacy’', 'tit': 'Men from the Boys', 'edn': '1967', 'num': '100', '#text': 'One minute you’re stroking the duck, the next you’re an eager beaver'}, {'date': '1977', 'con': '1969', 'aut': 'M. Herr', 'tit': 'Dispatches', 'num': '57', '#text': 'I met a man from the Cav who’d been ‘fucking the duck’ one afternoon, sound asleep in a huge tent with thirty cots inside'}, {'date': '1978', 'aut': 'H. Selby Jr', 'tit': 'Requiem for a Dream', 'edn': '1987', 'num': '31', '#text': 'Lets stop fuckin the duck'}, {'date': '1986', 'aut': 'L. Heinemann', 'tit': 'Paco’s Story', 'edn': '1987', 'num': '6', '#text': 'He was taking one of his famous naps — fucking the duck, we called it'}, {'date': '2003', 'tit': 'Daily Dog', '#text': '23 Jan. [Internet] [...] followed by a bit of fucking the duck on the back roads to Manitou Springs and back'}]",to waste time; to relax,phrase,fuck the duck,1956,"One minute you’re stroking the duck, the next you’re an eager beaver",2003,23 Jan. [Internet] [...] followed by a bit of fucking the duck on the back roads to Manitou Springs and back,fuck
1970s+,"[{'@first': 'yes', 'date': '1978', 'aut': 'L. Kramer', 'tit': 'Faggots', 'num': '281', '#text': 'He could now fuck the shit out of him'}, {'date': '1981', 'aut': 'S. King', 'tit': 'Cujo', 'edn': '1982', 'num': '88', '#text': 'I enjoyed fucking the shit out of her'}, {'date': '2002', 'aut': '‘Rev. of Total Corruption’', 'tit': 'HisXpress.com', '#text': '[Internet] Beefcake Phil Bradley fucks the cum out of Wes Daniels then shots his own hot load'}, {'date': '2003', 'tit': 'Salon.com', '#text': '30 Aug. [Internet] I really dig your body and want to fuck the shit out of you'}, {'date': '2007', 'aut': 'V. Honeycutt', 'tit': 'Diary of Questionable Journeys', 'num': '109', '#text': 'I was so horny that part of me wanted to just fuck the crap out of him'}]","usu. of a man, to have sexual intercourse; usu. very energetically and repeatedly",phrase,fuck the shit out of someone,1978,He could now fuck the shit out of him,2007,I was so horny that part of me wanted to just fuck the crap out of him,fuck
1950s+,"[{'@first': 'yes', 'date': '1958', 'aut': 'E. Gilbert', 'tit': 'Vice Trap', 'num': '56', '#text': 'I forgot, this is buddy week'}, {'date': '1962', 'aut': 'P. Crump', 'tit': 'Burn, Killer, Burn!', 'num': '279', '#text': 'This is Frig Your Buddy Week'}, {'date': '1967–8', 'aut': 'Baker', 'tit': 'CUSS', 'num': '190', 'i': 'Screw your buddy', '#text': 'et al.  Take someone else’s date away'}, {'date': '1986–7', 'tit': 'Maledicta', 'num': '195', 'b': 'it’s fuck-your-buddy week', '#text': 'IX This article and series devoted to sexual slang would be incomplete without some notice of catch phrases, both British and American: […] (betrayal time)'}, {'date': '2005', 'tit': 'www.thedailybulletin.com', '#text': '11 May [Internet] Every week was Fuck Your Buddy Week. They would have tattled on me to my manager, to Human Resources, to the Political Correctness police'}]",a response to any moment or act of betrayal; usu. as,phrase,fuck-your-buddy week,1958,"I forgot, this is buddy week",2005,"11 May [Internet] Every week was Fuck Your Buddy Week. They would have tattled on me to my manager, to Human Resources, to the Political Correctness police",fuck
20C+,"[{'@first': 'yes', 'date': '1977', 'tit': 'Maledicta', 'num': '17', 'i': ['I wouldn’t fuck her with your prick', 'with a borrowed pecker'], '#text': '1 (Summer) If she falls short of the ideal of desirability, well, , or'}, {'date': '1983', 'aut': 'R. Price', 'tit': 'Breaks', 'num': '231', 'i': 'your', '#text': 'I’ve seen these motherfuckers with women I wouldn’t fuck with  dick'}, {'date': '1992', 'aut': 'K. Lette', 'tit': 'Llama Parlour', 'num': '97', '#text': 'Sheet [...] I vouldn’t fuck her with Cosmo’s cock'}, {'@class': 'new', 'date': '2003', 'aut': 'Simon & Burns', 'tit': 'Wire', '#text': '‘Ebb Tide’ ser. 2 ep. 1 [TV script] With your pussy, I wouldn’t fuck any of these guys'}, {'date': '2003', 'tit': 'www.thepantsman.com', '#text': '[Internet] I turned to my batting partner and said (louder than I realised) ‘Mate, I wouldn’t fuck them with your dick’'}, {'@class': 'new', 'date': '2010', 'aut': 'Codella and Bennett', 'tit': 'Alphaville', 'edn': '2011', 'num': '43', '#text': 'I wouldn’t fuck that girl with your dick and Mike pushin’'}]","a general term of masculine distaste, spoken on seeing what is considered an unattractive or unpleasant woman; cite 2003 is in lexbian context",phrase,I wouldn’t fuck her with a borrowed prick,1977,"1 (Summer) If she falls short of the ideal of desirability, well, , or",2010,I wouldn’t fuck that girl with your dick and Mike pushin’,fuck
1980s+,"{'@first': 'yes', 'date': '1990', 'aut': 'Tupper & Wortley', 'tit': 'Aus. Prison Sl. Gloss.', '#text': '[Internet] Baby. As in ‘you can fuck me but you can’t make me like the baby’, which is to say a prisoner may endure his punishment but need not necessarily enjoy it'}",a phr. meaning that a prisoner may endure his punishment but need not necessarily enjoy it,phrase,you can fuck me but you can’t make me like the baby,1990,"[Internet] Baby. As in ‘you can fuck me but you can’t make me like the baby’, which is to say a prisoner may endure his punishment but need not necessarily enjoy it",1990,"[Internet] Baby. As in ‘you can fuck me but you can’t make me like the baby’, which is to say a prisoner may endure his punishment but need not necessarily enjoy it",fuck
1940s+,"[{'@first': 'yes', 'date': '1945', 'aut': 'T. Shibutani', 'tit': 'Derelicts of Company K', 'edn': '1978', 'num': '288', '#text': 'in I want to get the fuck out of here'}, {'date': '1964', 'aut': 'H. Selby Jr', 'tit': 'Last Exit to Brooklyn', 'edn': '1966', 'num': '222', '#text': 'She flipped her cigarette at the car and told him ta get the fuck outtahere'}, {'@class': 'N331', 'date': '1970', 'aut': 'E. Tidyman', 'tit': 'Shaft', 'num': '76', '#text': 'Let’s get the fuck out of here'}, {'date': '1972', 'aut': 'C. Bukowski', 'tit': 'Erections, Ejaculations etc.', 'num': '68', '#text': 'I’m gonna get the fuck out of this hole!'}, {'@class': 'new', 'date': '1978', 'aut': 'A. Burgess', 'tit': '1985', 'edn': '1980', 'num': '223', '#text': 'Fuck off = get the fuck out of here'}, {'@class': 'N331', 'date': '1983', 'aut': 'S. King', 'tit': 'Christine', 'num': '27', '#text': '‘That’s it’ [...] He stood up. ‘I’m getting the fuck out of here’'}, {'date': '1989', 'aut': 'Pileggi & Scorsese', 'tit': 'Goodfellas', 'num': '30', '#text': '[film script] Will you get the fuck out of here'}, {'date': '1993', 'aut': 'T. Jones', 'tit': 'Pugilist at Rest', 'num': '135', '#text': 'I wanted to get the f-u-c-k out of the place'}, {'@class': 'N331', 'date': '1998', 'aut': 'C. Fleming', 'tit': 'High Concept', 'num': '120', '#text': 'I gotta get the fuck outta here'}, {'@class': 'N331', 'date': '1999', 'aut': 'N. Cohn', 'tit': 'Yes We have No', 'num': '149', '#text': 'Time to get the fuck out'}, {'date': '2001', 'aut': 'N. Barlay', 'tit': 'Hooky Gear', 'num': '218', '#text': 'Sensi & me pile Krypton scrap an non-ferrous metal on top an a load other shit an get the fuck out'}, {'@class': 'new18D', 'date': '2007', 'aut': 'L. Redhead', 'tit': 'Cherry Pie', '#text': '[ebook] ‘She wanted to get the fuck out of the hospitality industry’'}, {'@class': 'new', 'date': '2011', 'aut': 'J.J. Connolly', 'tit': 'Viva La Madness', 'num': '125', 'i': 'get the fuck out', '#text': 'Sonny wants to'}]","to leave, to go away; the use of fuck intensifies the urgency",phrase,get the fuck out,1945,in I want to get the fuck out of here,2011,Sonny wants to,fuck
1970s+,"[{'@first': 'yes', 'date': '1988', 'aut': 'J. Healy', 'tit': 'Grass Arena', 'edn': '1990', 'num': '89', '#text': 'When the party got out of hand and he tried to leave they kicked the fuck out of him'}, {'date': '1995', 'aut': 'J. Cameron', 'tit': 'Vinnie Got Blown Away', 'num': '147', '#text': 'Got him in the shithouse, kicked fuck out of him'}, {'date': '2005', 'aut': 'B. Hare', 'tit': 'Urban Grimshaw', 'num': '163', '#text': 'We’ll all be in jail and we won’t be able to kick fuck out of the nonces'}, {'@class': 'new', 'date': '2012', 'aut': 'G. Johnstone', 'tit': 'Crime Factory: Hard Labour', '#text': '‘No Through Road’ in  [ebook] We [...] watch Dudikoff kick the fuck out of an entire army of lesser ninjas'}, {'@class': 'new19B', 'date': '2019', 'aut': 'N. Walker', 'tit': 'Cherry', 'num': '211', '#text': 'And now there were six bros and it looked like I was about to get the fuck beaten out of me'}]",to beat someone up severely,phrase,kick (the) fuck out of,1988,When the party got out of hand and he tried to leave they kicked the fuck out of him,2019,And now there were six bros and it looked like I was about to get the fuck beaten out of me,fuck
1990s+,"[{'@first': 'yes', 'date': '1993', 'aut': 'I. Welsh', 'tit': 'Trainspotting', 'num': '149', '#text': 'Such people really scared the fuck out of Renton'}, {'date': '1997', 'aut': 'L. Pettiway', 'tit': 'Workin’ It', 'num': '158', '#text': 'I was scared the fuck to death about from [sic] having sex'}]",to terrify,phrase,scare the fuck out of,1993,Such people really scared the fuck out of Renton,1997,I was scared the fuck to death about from [sic] having sex,fuck
1920s+,"[{'@first': 'yes', 'date': '1993', 'aut': 'I. Welsh', 'tit': 'Trainspotting', 'num': '20', '#text': 'You dinnae like the company, you kin git tae fuck'}, {'date': '2000', 'aut': 'T. Udo', 'tit': 'Vatican Bloodbath', 'num': '88', '#text': 'What? Get tae fuck! What a load of bollocks! He’s just making this up!'}, {'date': '2000', 'aut': 'T. Udo', 'tit': 'Vatican Bloodbath', 'num': ['15', '88'], '#text': 'You get tae fuck! [Ibid.] What? Get tae fuck! What a load of bollocks! He’s just making this up!'}, {'date': '2001', 'aut': 'I. Welsh', 'tit': 'Glue', 'num': '96', '#text': 'Get te Falkirk. Eh nivir rode her? Billy scoffs'}, {'@class': 'new', 'date': '2015', 'aut': 'I. Welsh', 'tit': 'Decent Ride', 'num': '35', '#text': 'Ye tell these cunts, nicely of course: git tae fuck'}]",a harsh demand to go away,phrase,get to fuck!,1993,"You dinnae like the company, you kin git tae fuck",2015,"Ye tell these cunts, nicely of course: git tae fuck",fuck
1990s+,"{'@first': 'yes', 'date': '1994', 'aut': 'P. Quigley', 'tit': 'Borderland', 'num': '178', '#text': '‘Go to fuck,’ she spat the words at me'}",an excl. of dismissal,phrase,go to fuck!,1994,"‘Go to fuck,’ she spat the words at me",1994,"‘Go to fuck,’ she spat the words at me",fuck
1940s+,"[{'@first': 'yes', 'date': '1955', 'aut': 'E. Cray', 'tit': 'Erotic Muse', 'edn': '1992', 'num': '44', '#text': 'in My name is Samuel Hall / And I’ve only got one ball, / But it’s better than none at all. Fuck ’em all'}, {'date': '1961', 'aut': 'E. Cray', 'tit': 'Erotic Muse', 'edn': '1992', 'num': '388', '#text': 'in They’ll get no promotion this side of the ocean. / So cheer up, my lads, fuck ’em all'}, {'date': '1963', 'aut': 'H.S. Thompson', 'tit': 'Proud Highway', 'edn': '1997', 'num': '400', '#text': 'letter 20 Sept. Books like that are like water when you want whiskey. Fuck ’em'}, {'date': '1970', 'aut': 'A. Young', 'tit': 'Snakes', 'edn': '1971', 'num': '105', '#text': 'Fuck em, we’ll come anyway'}, {'date': '1986', 'aut': 'E. Cray', 'tit': 'Erotic Muse', 'edn': '1992', 'num': '389', '#text': 'in Fuck ’em all, fuck ’em all, / The long and the short and the tall'}, {'date': '1997', 'aut': 'C. Hiaasen', 'tit': 'Lucky You', 'num': '185', '#text': '‘Fuck ’em.’ Arthur Battenkill snorted. ‘I hope they slaughter each other with blunt objects.’'}]","a general excl. of dismissal, bravado, ‘to hell with them’",phrase,fuck ’em all!,1955,"in My name is Samuel Hall / And I’ve only got one ball, / But it’s better than none at all. Fuck ’em all",1997,‘Fuck ’em.’ Arthur Battenkill snorted. ‘I hope they slaughter each other with blunt objects.’,fuck
1970s–80s,"[{'@first': 'yes', 'date': '1982', 'aut': 'H. Beaton', 'tit': 'Outside In', 'num': 'Act II', '#text': 'Fuck me days! Your father a multi-national?'}, {'date': '1999', 'con': '1979–80', 'aut': 'A. Wheatle', 'tit': 'Brixton Rock', 'edn': '2004', 'num': '61', '#text': 'What is going on, he thought. Fuck my days, this might be my sister!'}, {'date': '2001', 'con': '1981', 'aut': 'A. Wheatle', 'tit': 'East of Acre Lane', 'num': ['7', '226'], '#text': 'Fuck my days [...] Dat was close. [Ibid.] Oh, frig my living days'}]","an excl. of surprise, annoyance etc",phrase,fuck my days!,1982,Fuck me days! Your father a multi-national?,2001,"Fuck my days [...] Dat was close. [Ibid.] Oh, frig my living days",fuck
,"{'@first': 'yes', 'date': '1971', 'con': 'WWII', 'aut': 'B. Aldiss', 'tit': 'Soldier Erect', 'num': '252', '#text': '‘Where were you in the war?’ ‘I was in Burma [...] Fuck my bloody luck!’'}","an excl. implying sorrow, disappointment",phrase,fuck my luck!,1971,‘Where were you in the war?’ ‘I was in Burma [...] Fuck my bloody luck!’,1971,‘Where were you in the war?’ ‘I was in Burma [...] Fuck my bloody luck!’,fuck
1990s+,"[{'@first': 'yes', 'date': '1999', 'aut': 'F. Allan', 'tit': 'Milton’s Progress', '#text': 'Ch. 13 [Internet] ‘Fuck my luck!’ spat Rob, ‘not sharin’ an ass like that should be against the law!’'}, {'date': '2005', 'tit': 'www.248am.com', '#text': 'at  29 Oct. [blog] Fuck my luck, I have been waiting all day for a decent shot of something and finally when it happens turns out my camera was set on manual focus!'}]",I don’t believe it!,phrase,fuck my luck!,1999,"Ch. 13 [Internet] ‘Fuck my luck!’ spat Rob, ‘not sharin’ an ass like that should be against the law!’",2005,"at  29 Oct. [blog] Fuck my luck, I have been waiting all day for a decent shot of something and finally when it happens turns out my camera was set on manual focus!",fuck
1970s+,"[{'@first': 'yes', 'date': '1972', 'aut': 'C. Bukowski', 'tit': 'Erections, Ejaculations etc.', 'num': '423', '#text': 'Well, fuck my dead mother’s bones .'}, {'date': '1975', 'aut': '‘P.B. Yuill’', 'tit': 'Hazell and the Three-card Trick', 'edn': '1977', 'num': '152', '#text': 'All he could say was: ‘Fuck my old boots!’'}, {'date': '1984', 'aut': 'Partridge', 'tit': 'DSUE', 'edn': '8th edn', 'num': '432/2', '#text': 'C.20'}, {'date': '2003', 'tit': 'Spike', '#text': 'mag. 22 Sept. [Internet] Fuck my old boots. The Financial Times, of all papers, runs a sweet piece on Robert Wyatt marking the release of a new LP'}]","an excl. denoting one’s astonishment; orig. milit. use, sometimes euph. as",phrase,fuck my old boots!,1972,"Well, fuck my dead mother’s bones .",2003,"mag. 22 Sept. [Internet] Fuck my old boots. The Financial Times, of all papers, runs a sweet piece on Robert Wyatt marking the release of a new LP",fuck
20C+,"[{'@first': 'yes', 'date': '1957', 'aut': 'K. Amis', 'src': 'Leader', 'edn': '2000', 'num': '504', '#text': 'letter 19 Feb. in The first, any road, is The world of Ernest Hemingway. Fuck that'}, {'date': '1960', 'aut': 'G. Westwood', 'tit': 'A Minority', 'num': '142', '#text': 'in You know bloody well its buggery not burglary [...] F--- that for a lark, you’ll get me into more trouble'}, {'date': '1981', 'aut': 'A. Weller', 'tit': 'Day of the Dog', 'num': '81', '#text': '‘Poxy judge give ’im six months just because ’e stole a blanket.’ ‘Fuck that,’ he murmurs in sympathy'}, {'@class': 'N331', 'date': '1987', 'aut': 'T. Wolfe', 'tit': 'Bonfire of the Vanities', 'num': '35', '#text': '‘Making $36,000 a year.’ [...] Fuck that'}, {'date': '1992', 'aut': 'T. Williams', 'tit': 'Crackhouse', 'num': '24', '#text': 'Everybody says they’re going to stop after their last hit – fuck that. I like it and I’m gonna continue to smoke'}, {'@class': 'new', 'date': '1996', 'aut': 'P. Temple', 'tit': 'Bad Debts', 'edn': '2012', '#text': '[ebook] Well fuck that for a joke. I’ve wasted enough time'}, {'@class': 'N331', 'date': '1997', 'con': '1970s', 'aut': 'G. Pelecanos', 'tit': 'King Suckerman', 'edn': '1998', 'num': '19', '#text': 'Fuck all that'}, {'@class': 'N331', 'date': '1999', 'aut': 'N. Cohn', 'tit': 'Yes We Have No', 'num': '338', '#text': 'Maladjusted, they said I was. Fuck that!'}, {'date': '2001', 'aut': 'I. Welsh', 'tit': 'Glue', 'num': '12', '#text': 'Risk losing some fingers for a bonus for a bunch of rich shareholders living in Surrey or somewhere? Fuck that'}]","a dismissive excl., often ext., e.g.    and  below",phrase,fuck that!,1957,"letter 19 Feb. in The first, any road, is The world of Ernest Hemingway. Fuck that",2001,Risk losing some fingers for a bonus for a bunch of rich shareholders living in Surrey or somewhere? Fuck that,fuck
